Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,129.54,-132.708428,-90.0,top
C2,22pF,C_0805_2012Metric,123.19,-132.708428,90.0,top
C3,1uF,C_0805_2012Metric,119.0625,-143.505928,0.0,top
C4,0.1uF,C_0805_2012Metric,131.7625,-134.9375,90.0,top
C5,0.1uF,C_0805_2012Metric,123.03125,-128.5875,0.0,top
C6,0.1uF,C_0805_2012Metric,105.56875,-138.743428,180.0,top
C7,0.1uF,C_0805_2012Metric,102.39375,-130.96875,-90.0,top
D1,SOD-123,D_SOD-123,105.20008,-79.00633,90.0,top
D2,SOD-123,D_SOD-123,124.25008,-79.00633,90.0,top
D3,SOD-123,D_SOD-123,143.30008,-79.00633,90.0,top
D4,SOD-123,D_SOD-123,105.20008,-98.05633,90.0,top
D5,SOD-123,D_SOD-123,124.25008,-98.05633,90.0,top
D6,SOD-123,D_SOD-123,143.30008,-98.05633,90.0,top
D7,SOD-123,D_SOD-123,105.20008,-117.10633,90.0,top
D8,SOD-123,D_SOD-123,124.25008,-117.10633,90.0,top
D9,SOD-123,D_SOD-123,143.30008,-117.10633,90.0,top
F1,500mA,Fuse_0805_2012Metric,106.3625,-144.299678,90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,114.3,-152.99,0.0,top
MX1,MX-NoLED,MXOnly-1U-NoLED,95.67508,-79.00633,0.0,top
MX2,MX-NoLED,MXOnly-1U-NoLED,114.72508,-79.00633,0.0,top
MX3,MX-NoLED,MXOnly-1U-NoLED,133.77508,-79.00633,0.0,top
MX4,MX-NoLED,MXOnly-1U-NoLED,95.67508,-98.05633,0.0,top
MX5,MX-NoLED,MXOnly-1U-NoLED,114.72508,-98.05633,0.0,top
MX6,MX-NoLED,MXOnly-1U-NoLED,133.77508,-98.05633,0.0,top
MX7,MX-NoLED,MXOnly-1U-NoLED,95.67508,-117.10633,0.0,top
MX8,MX-NoLED,MXOnly-1U-NoLED,114.72508,-117.10633,0.0,top
MX9,MX-NoLED,MXOnly-1U-NoLED,133.77508,-117.10633,0.0,top
R1,10k,R_0805_2012Metric,123.825,-140.330928,90.0,top
R2,22,R_0805_2012Metric,113.50625,-144.299678,-90.0,top
R3,22,R_0805_2012Metric,111.125,-144.299678,-90.0,top
R4,10k,R_0805_2012Metric,105.56875,-128.5875,0.0,top
R5,5k1,R_0805_2012Metric,108.74375,-144.299678,90.0,top
R6,5k1,R_0805_2012Metric,117.475,-146.64,0.0,top
S1,SW_Push,SKQG-1155865,130.175,-139.378428,0.0,top
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,114.3,-134.630928,90.0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,126.365,-132.708428,180.0,top
